,time,r/c,accept_ratio
0,0,0.802,1.0
1,1,0.975,1.0
2,2,0.975,0.6666666666666666
3,3,0.871,0.75
4,4,0.887,0.8
5,5,0.872,0.8333333333333334
6,6,0.858,0.8571428571428571
7,7,0.840,0.875
8,8,0.840,0.7777777777777778
9,9,0.826,0.8
10,10,0.828,0.8181818181818182
11,11,0.826,0.8333333333333334
12,12,0.829,0.8461538461538461
13,13,0.829,0.7857142857142857
14,14,0.836,0.8
15,15,0.835,0.8125
16,16,0.843,0.8235294117647058
17,17,0.838,0.8333333333333334
18,18,0.840,0.8421052631578947
19,19,0.829,0.85
20,20,0.829,0.8095238095238095
21,21,0.831,0.8181818181818182
22,22,0.831,0.782608695652174
23,23,0.836,0.7916666666666666
24,24,0.838,0.8
25,25,0.839,0.8076923076923077
26,26,0.815,0.8148148148148148
27,27,0.807,0.8214285714285714
28,28,0.780,0.8275862068965517
29,29,0.771,0.8333333333333334
30,30,0.758,0.8387096774193549
31,31,0.737,0.84375
32,32,0.727,0.8484848484848485
33,33,0.721,0.8529411764705882
34,34,0.709,0.8571428571428571
35,35,0.703,0.8611111111111112
36,36,0.703,0.8378378378378378
37,37,0.704,0.8421052631578947
38,38,0.704,0.8205128205128205
39,39,0.683,0.825
40,40,0.683,0.8048780487804879
41,41,0.682,0.8095238095238095
42,42,0.684,0.813953488372093
43,43,0.680,0.8181818181818182
44,44,0.676,0.8222222222222222
45,45,0.674,0.8260869565217391
46,46,0.671,0.8297872340425532
47,47,0.671,0.8333333333333334
48,48,0.671,0.8367346938775511
49,49,0.667,0.84
50,50,0.669,0.8431372549019608
51,51,0.672,0.8461538461538461
52,52,0.669,0.8490566037735849
53,53,0.664,0.8518518518518519
54,54,0.665,0.8545454545454545
55,55,0.657,0.8571428571428571
56,56,0.653,0.8596491228070176
57,57,0.648,0.8620689655172413
58,58,0.642,0.864406779661017
59,59,0.642,0.85
60,60,0.645,0.8524590163934426
61,61,0.641,0.8548387096774194
62,62,0.641,0.8571428571428571
63,63,0.636,0.859375
64,64,0.638,0.8615384615384616
65,65,0.633,0.8636363636363636
66,66,0.633,0.8656716417910447
67,67,0.633,0.8676470588235294
68,68,0.633,0.855072463768116
69,69,0.628,0.8571428571428571
70,70,0.631,0.8591549295774648
71,71,0.632,0.8611111111111112
72,72,0.628,0.863013698630137
73,73,0.629,0.8648648648648649
74,74,0.629,0.8533333333333334
75,75,0.629,0.8421052631578947
76,76,0.627,0.8441558441558441
77,77,0.628,0.8461538461538461
78,78,0.629,0.8481012658227848
79,79,0.627,0.85
80,80,0.626,0.8518518518518519
81,81,0.624,0.8536585365853658
82,82,0.623,0.8554216867469879
83,83,0.621,0.8571428571428571
84,84,0.623,0.8588235294117647
85,85,0.622,0.8604651162790697
86,86,0.621,0.8620689655172413
87,87,0.618,0.8636363636363636
88,88,0.614,0.8651685393258427
89,89,0.614,0.8666666666666667
90,90,0.611,0.8681318681318682
91,91,0.607,0.8695652173913043
92,92,0.604,0.8709677419354839
93,93,0.604,0.8723404255319149
94,94,0.602,0.8736842105263158
95,95,0.598,0.875
96,96,0.599,0.8762886597938144
97,97,0.599,0.8673469387755102
98,98,0.599,0.8686868686868687
99,99,0.598,0.87
100,100,0.601,0.8712871287128713
101,101,0.601,0.8627450980392157
102,102,0.600,0.8640776699029126
103,103,0.601,0.8653846153846154
104,104,0.595,0.8666666666666667
105,105,0.593,0.8679245283018868
106,106,0.593,0.8691588785046729
107,107,0.594,0.8703703703703703
108,108,0.592,0.8715596330275229
109,109,0.591,0.8727272727272727
110,110,0.593,0.8738738738738738
111,111,0.594,0.875
112,112,0.593,0.8761061946902655
113,113,0.590,0.8771929824561403
114,114,0.593,0.8782608695652174
115,115,0.594,0.8793103448275862
116,116,0.596,0.8803418803418803
117,117,0.598,0.8813559322033898
118,118,0.595,0.8823529411764706
119,119,0.595,0.875
120,120,0.595,0.8677685950413223
121,121,0.597,0.8688524590163934
122,122,0.597,0.8699186991869918
123,123,0.597,0.8709677419354839
124,124,0.597,0.872
125,125,0.596,0.873015873015873
126,126,0.597,0.8740157480314961
127,127,0.596,0.875
128,128,0.597,0.875968992248062
129,129,0.598,0.8769230769230769
130,130,0.596,0.8778625954198473
131,131,0.595,0.8787878787878788
132,132,0.595,0.8796992481203008
133,133,0.595,0.8805970149253731
134,134,0.595,0.8814814814814815
135,135,0.593,0.8823529411764706
136,136,0.592,0.8832116788321168
137,137,0.592,0.8840579710144928
138,138,0.591,0.8848920863309353
139,139,0.591,0.8857142857142857
140,140,0.591,0.8865248226950354
141,141,0.591,0.8873239436619719
142,142,0.591,0.8811188811188811
143,143,0.592,0.8819444444444444
144,144,0.589,0.8827586206896552
145,145,0.586,0.8835616438356164
146,146,0.586,0.8843537414965986
147,147,0.587,0.8851351351351351
148,148,0.587,0.8859060402684564
149,149,0.587,0.8866666666666667
150,150,0.587,0.8874172185430463
151,151,0.586,0.8881578947368421
152,152,0.586,0.8888888888888888
153,153,0.586,0.8896103896103896
154,154,0.585,0.8903225806451613
155,155,0.584,0.8910256410256411
156,156,0.584,0.8853503184713376
157,157,0.584,0.879746835443038
158,158,0.584,0.8742138364779874
159,159,0.585,0.875
160,160,0.585,0.8757763975155279
161,161,0.585,0.8765432098765432
162,162,0.585,0.8711656441717791
163,163,0.585,0.8719512195121951
164,164,0.583,0.8727272727272727
165,165,0.583,0.8674698795180723
166,166,0.583,0.8622754491017964
167,167,0.583,0.8571428571428571
168,168,0.584,0.8579881656804734
169,169,0.584,0.8529411764705882
170,170,0.584,0.847953216374269
171,171,0.584,0.8430232558139535
172,172,0.584,0.8439306358381503
173,173,0.584,0.8390804597701149
174,174,0.584,0.8342857142857143
175,175,0.584,0.8295454545454546
176,176,0.584,0.8305084745762712
177,177,0.583,0.8314606741573034
178,178,0.583,0.8268156424581006
179,179,0.583,0.8222222222222222
180,180,0.583,0.8176795580110497
181,181,0.583,0.8131868131868132
182,182,0.582,0.8142076502732241
183,183,0.581,0.8152173913043478
184,184,0.581,0.8108108108108109
185,185,0.581,0.8064516129032258
186,186,0.581,0.8021390374331551
187,187,0.581,0.8031914893617021
188,188,0.580,0.8042328042328042
189,189,0.580,0.8
190,190,0.580,0.7958115183246073
191,191,0.580,0.7916666666666666
192,192,0.580,0.7927461139896373
193,193,0.580,0.788659793814433
194,194,0.580,0.7846153846153846
195,195,0.580,0.7857142857142857
196,196,0.580,0.7817258883248731
197,197,0.580,0.7828282828282829
198,198,0.580,0.7788944723618091
199,199,0.580,0.78
200,200,0.581,0.7810945273631841
201,201,0.581,0.7772277227722773
202,202,0.581,0.7783251231527094
203,203,0.581,0.7745098039215687
204,204,0.580,0.775609756097561
205,205,0.580,0.7718446601941747
206,206,0.581,0.7729468599033816
207,207,0.581,0.7740384615384616
208,208,0.581,0.7751196172248804
209,209,0.581,0.7714285714285715
210,210,0.581,0.7677725118483413
211,211,0.582,0.7688679245283019
212,212,0.583,0.7699530516431925
213,213,0.582,0.7710280373831776
214,214,0.582,0.7674418604651163
215,215,0.582,0.7638888888888888
216,216,0.582,0.7649769585253456
217,217,0.582,0.7614678899082569
218,218,0.582,0.7579908675799086
219,219,0.582,0.7545454545454545
220,220,0.582,0.751131221719457
221,221,0.582,0.7477477477477478
222,222,0.582,0.7443946188340808
223,223,0.582,0.7410714285714286
224,224,0.582,0.7377777777777778
225,225,0.582,0.7345132743362832
226,226,0.582,0.7312775330396476
227,227,0.581,0.7324561403508771
228,228,0.581,0.7292576419213974
229,229,0.582,0.7304347826086957
230,230,0.581,0.7316017316017316
231,231,0.582,0.7327586206896551
232,232,0.582,0.7296137339055794
233,233,0.582,0.7264957264957265
234,234,0.582,0.723404255319149
235,235,0.582,0.7203389830508474
236,236,0.582,0.7215189873417721
237,237,0.581,0.7226890756302521
238,238,0.581,0.7196652719665272
239,239,0.581,0.7166666666666667
240,240,0.581,0.7136929460580913
241,241,0.581,0.7107438016528925
242,242,0.581,0.7078189300411523
243,243,0.581,0.7049180327868853
244,244,0.582,0.7061224489795919
245,245,0.582,0.7073170731707317
246,246,0.582,0.7044534412955465
247,247,0.582,0.7016129032258065
248,248,0.582,0.6987951807228916
249,249,0.582,0.696
250,250,0.582,0.6972111553784861
251,251,0.583,0.6984126984126984
252,252,0.583,0.6956521739130435
253,253,0.583,0.6929133858267716
254,254,0.583,0.6941176470588235
255,255,0.583,0.69140625
256,256,0.584,0.6926070038910506
257,257,0.584,0.6937984496124031
258,258,0.583,0.694980694980695
259,259,0.583,0.6923076923076923
260,260,0.583,0.6896551724137931
261,261,0.584,0.6908396946564885
262,262,0.584,0.6920152091254753
263,263,0.584,0.6893939393939394
264,264,0.582,0.690566037735849
265,265,0.582,0.6879699248120301
266,266,0.582,0.6853932584269663
267,267,0.582,0.6828358208955224
268,268,0.582,0.6802973977695167
269,269,0.583,0.6814814814814815
270,270,0.583,0.6789667896678967
271,271,0.582,0.6801470588235294
272,272,0.582,0.6813186813186813
